,City,Population,Latitude,Longitude,Country
137,Tangier,825316.0,35.780576,-5.813646,Morocco
138,Martil,29805.0,35.616617,-5.275219,Morocco
139,Dipkarpaz,5215.0,35.6,34.375,Cyprus
140,Ziyamet,1593.0,35.470833299999995,34.1416667,Cyprus
141,Kargil,13843.0,34.566666999999995,76.1,India
142,Bandipur,31980.0,34.416667,74.65,India
143,Jubayl,20786.0,34.1166667,35.65,Lebanon
144,Juniyah,96322.0,33.9808333,35.6177778,Lebanon
145,Qiryat Shemona,22738.0,33.207334,35.572118,Israel
146,Shelomi,5784.0,33.074719,35.146075,Israel
147,Zaltan,16291.0,32.95,11.866666699999998,Libya
148,Zuwarah,180310.0,32.9344444,12.079166699999998,Libya
149,Algodones,4874.0,32.7,-114.766667,Mexico
150,Kafr Sawm,7800.0,32.683333000000005,35.8,Jordan
151,Malka,7477.0,32.673806,35.750129,Jordan
152,Cuervos,8481.0,32.669722,-114.804444,Mexico
153,Saint George,1802.0,32.381666700000004,-64.6780556,Bermuda
154,Hamilton,902.0,32.2941667,-64.7838889,Bermuda
155,Turayf,32654.0,31.672516,38.663735,Saudi Arabia
156,Damietta,76906.0,31.4194444,31.815,Egypt
157,Rosetta,64489.0,31.4044444,30.4163889,Egypt
158,Sakakah,93282.0,29.969742,40.206414,Saudi Arabia
159,Doha,37804.0,29.367778,47.81,Kuwait
160,Kayfan,27202.0,29.341389000000003,47.963333,Kuwait
161,Jumla,9073.0,29.25,82.25,Nepal
162,Mahendranagar,88386.0,28.9166667,80.33333329999999,Nepal
163,Gasa,1612.0,27.9166667,89.6833333,Bhutan
164,Lhuntshi,1935.0,27.65,91.15,Bhutan
165,High Rock,3744.0,26.6208333,-78.2833333,Bahamas
166,Sweeting Cay,483.0,26.6,-77.8833333,Bahamas
167,Panchagarh,48536.0,26.3333333,88.5666667,Bangladesh
168,Manama,147097.0,26.2361111,50.5830556,Bahrain
169,Sitrah,37690.0,26.1547222,50.6205556,Bahrain
170,Thakurgaon,71104.0,26.0333333,88.4666667,Bangladesh
171,Khor,18923.0,25.683889,51.505833,Qatar
172,Myitkyina,90905.0,25.3833333,97.4,Myanmar
173,Sharjah,543942.0,25.35731,55.403304000000006,United Arab Emirates
174,Doha,344939.0,25.286667,51.533333,Qatar
175,Dubai,1137376.0,25.258172,55.304717,United Arab Emirates
176,Tanshui,133001.0,25.1777778,121.4433333,"Taiwan, Province of China"
177,Keelung,397516.0,25.1313889,121.7375,"Taiwan, Province of China"
178,Banmo,47920.0,24.2666667,97.2333333,Myanmar
179,Muscat,67445.0,23.6133333,58.5933333,Oman
180,Ruwi,85601.0,23.5905556,58.55,Oman
181,Santa Cruz del Norte,18403.0,23.1538889,-81.92361109999999,Cuba
182,Varadero,17178.0,23.1536111,-81.25138890000001,Cuba
183,Hà Giang,32690.0,22.833333,104.983333,Viet Nam
184,Cao Bang,41117.0,22.666667,106.25,Viet Nam
185,Taoudenni,3019.0,22.6666667,-3.9833333,Mali
186,Cockburn Harbour,1744.0,21.4833333,-71.5333333,Turks and Caicos Islands
187,Cockburn Town,5525.0,21.4666667,-71.1333333,Turks and Caicos Islands
